seed,num_samples,dist_mmd2,dist_mean_l2,mmd_sigma
0,512,0.0494312838687887,0.7526148294459825,2.381403701685951
0,1024,0.018470911414295688,0.4378452378958411,2.3873536470351433
1,512,0.04576945300342794,0.7204495973673525,2.3644844826936153
1,1024,0.01832073125759459,0.4150622021040116,2.3803260574170544
2,512,0.018788711797169455,0.3054564203045846,2.368745535425458
2,1024,0.018954170989288976,0.39864751566887746,2.350401789286907
3,512,0.05786863805408282,0.8047519401967327,2.3667929744463843
3,1024,0.01909430785086752,0.4447443829962139,2.353275991573288
4,512,0.03403130956163736,0.4768698260356094,2.3798256619702673
4,1024,0.010141144798521795,0.24626040485599934,2.37129374187324
5,512,0.04583541592511642,0.6698614603775709,2.347142963211556
5,1024,0.00983054964394714,0.2791254270256171,2.3636253309193846
6,512,0.030613550089104713,0.5666389067139206,2.380768360296361
6,1024,0.016922096644077733,0.39395411283623055,2.3729774074741137
7,512,0.02656820857419928,0.44858780564795636,2.3957642970493533
7,1024,0.01334440020003591,0.3366067800733503,2.382786770719138
8,512,0.04297823507731968,0.6828905896020452,2.364289396104069
8,1024,0.024043279462551137,0.517621292155318,2.368112022947626
9,512,0.03531345399432728,0.6124917269513197,2.362834896114432
9,1024,0.01873671075365657,0.4355531471481742,2.37254180094598
