iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,p95_rho2,p99_rho2,max_rho2,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv
0,1.6876009653772745e-05,0.013945648507783553,1.9283442957685904e-15,1.148940084434135,1.3292884311371882,1.7985466815329205,1.8416282585548438,1.8522372714518633,-0.0006298697526571579,0.00405946717543822,0.0024857203835220152,0.004499012213612612,0.024295351884987472,4.581684736336919,nan,nan,0.0,nan,nan,nan,nan,nan
1,1.6484831476611724e-05,0.013945584725188675,4.4811704498618114e-15,1.1478500444897635,1.3263085090639997,1.771810519341184,1.8376089544613394,1.8526228916297571,-0.0006281647663739246,0.004011264202579795,0.002447753370378624,0.004407346642730381,0.02105944410617505,4.581683424776886,nan,nan,0.0,nan,nan,nan,nan,nan
2,1.878726527579718e-05,0.01394551070537704,6.773374259017907e-15,1.148138650386468,1.327224610920902,1.7862525968011684,1.8399415125166476,1.851848580313731,-0.0008242321027519865,0.004255338613622918,0.002498346510741042,0.004338212286076202,0.02299996790467391,4.581681886927979,nan,nan,0.0,nan,nan,nan,nan,nan
3,1.6094331978760344e-05,0.013945448004147449,1.3884151113162523e-14,1.1499787839131759,1.331701348967571,1.7919757544806323,1.8394154639852383,1.8524088671916499,-0.0007665292232109134,0.00393786299009044,0.0025212235693020052,0.0041365118588881505,0.02365563696069157,4.5816808655300045,nan,nan,0.0,nan,nan,nan,nan,nan
4,1.700643459355786e-05,0.013945381985354593,1.8892869898700967e-14,1.147659234936518,1.326282655382278,1.784605119337294,1.8396355752347253,1.8521041146256132,-0.0007251082091579253,0.004059637013153965,0.0025510924139060015,0.00434252067724791,0.025007326446803077,4.58167999734236,nan,nan,0.0,nan,nan,nan,nan,nan
5,1.812143227309837e-05,0.01394531133448227,2.0820116067157724e-14,1.1472385365365343,1.3248500777620142,1.770451430556351,1.8336552929400511,1.8518609044935481,-0.000740441721854423,0.00419203749143965,0.0024783934505296745,0.004419521977212463,0.02484129175765519,4.581678976126747,0.1021399731097444,0.0,0.0,0.9999857059541961,0.005939713324005447,0.24938052603657052,0.042995237205547175,0.11281145562084752
6,1.6101506591435048e-05,0.01394524766030902,2.3658964559889847e-14,1.1464179228689426,1.3230841016764328,1.7866430281240917,1.8398288104950808,1.8520901592676593,-0.0006970341171426725,0.003951664210301045,0.002505679211765402,0.004862411711976137,0.022193414265501362,4.581677663425909,nan,nan,0.0,nan,nan,nan,nan,nan
7,1.5692956504403444e-05,0.013945185496135807,2.791856075708177e-14,1.1488990446522296,1.3289913681944032,1.7901179247800645,1.8368699914989006,1.852488674846582,-0.0008158427721184452,0.003876513520624626,0.0023572798209816875,0.0039009149448707404,0.009261415964204676,4.581676325014985,nan,nan,0.0,nan,nan,nan,nan,nan
8,1.6622760884622023e-05,0.013945119623725967,3.381864504513008e-14,1.1484663903346675,1.3278964045073434,1.7853646837123949,1.8386754999370298,1.8524687539458664,-0.0007738120900219025,0.004002995844858942,0.002343676506859839,0.0042408002770266484,0.01997717829432607,4.581675102935091,nan,nan,0.0,nan,nan,nan,nan,nan
9,1.5430827375421677e-05,0.01394505843162628,3.600084808971233e-14,1.1460149658482488,1.322486954536184,1.7898776187704728,1.8424919888603413,1.8525017205730037,-0.0007737578287315462,0.003851249952664501,0.0024357776555247565,0.004182673509992946,0.021099144548225677,4.581673773775801,0.0941893131569398,0.022077442811148738,1.0,0.9999847595960374,0.009514660752081072,0.30640452656733047,0.042995237205554884,0.11295739984207054
