iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.3116973973310816e-05,1.1381355641493983e-05,1.1735618331816833e-05,0.5076623932425554,8,200,200
9,2.4161506047077836e-05,1.2341464425314359e-05,1.1820041621763477e-05,0.48920963779048154,8,200,200
10,2.261679789343155e-05,1.1125632681478763e-05,1.1491165211952787e-05,0.5080809965273684,8,200,200
15,2.270365184003246e-05,1.1495408851136167e-05,1.1208242988896294e-05,0.49367577814654634,8,200,200
19,2.3505915639588648e-05,1.3332505668003849e-05,1.01734099715848e-05,0.43280211362839865,8,200,200
20,2.275620356682808e-05,1.0837622623538706e-05,1.1918580943289375e-05,0.523750849226151,8,200,200
25,2.4277735328446524e-05,1.1450762059327653e-05,1.2826973269118871e-05,0.5283430721847168,8,200,200
29,2.1116602953144338e-05,1.0894591618924069e-05,1.022201133422027e-05,0.4840746097704212,8,200,200
30,2.2113078154584343e-05,1.1543848797820237e-05,1.0569229356764106e-05,0.47796282737656587,8,200,200
35,2.2202858002321188e-05,1.039651120153377e-05,1.1806346800787418e-05,0.531748966711994,8,200,200
39,2.2795451319779096e-05,1.0923958324122947e-05,1.187149299565615e-05,0.5207834154770835,8,200,200
40,2.1550184682299288e-05,1.1316987054076052e-05,1.0233197628223236e-05,0.47485428914344735,8,200,200
45,2.3767963496987843e-05,1.0480840734503427e-05,1.3287122762484416e-05,0.5590349700835041,8,200,200
49,2.271314917645756e-05,1.0856958972991832e-05,1.185619020346573e-05,0.5219967566520809,8,200,200
50,2.3313887416615095e-05,1.0522016187171287e-05,1.2791871229443808e-05,0.5486803209115367,8,200,200
55,2.2864959413320918e-05,1.2297536434025651e-05,1.0567422979295267e-05,0.4621667061931797,8,200,200
59,2.2721809230062844e-05,1.2550916996583954e-05,1.017089223347889e-05,0.44762686503071036,8,200,200
60,2.139003325681237e-05,1.0494074121985527e-05,1.0895959134826844e-05,0.509394211968168,8,200,200
65,2.5902588306066786e-05,1.2472162186182778e-05,1.3430426119884007e-05,0.5184974552036714,8,200,200
69,2.2462983646696992e-05,1.1881064446705354e-05,1.0581919199991638e-05,0.47108253144045836,8,200,200
70,2.263126136881581e-05,1.2189110882762366e-05,1.0442150486053443e-05,0.4614038217260814,8,200,200
75,2.1860537817492124e-05,9.270263461144124e-06,1.2590274356348e-05,0.5759361668711396,8,200,200
79,2.0669133090225172e-05,1.0540966655118824e-05,1.0128166435106349e-05,0.4900140896521757,8,200,200
